Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Variant Price,Cost per item,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Image Src
422-dove-beauty-cream-bar-pink-135g-x-4pcs,Dove Beauty Cream Bar Pink 135g X 4pcs,Brand : Dove,Fakhr Al Shaeb,Grocery,"Bath & Wash Care,Personal Care",TRUE,17.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/dove-pink-4pcs.jpg
423-always-clean--dry-thick-large-sanitary-30-pads,Always Clean & Dry Thick Large Sanitary 30 Pads,,Fakhr Al Shaeb,Grocery,"Feminine Hygiene,Personal Care",TRUE,12.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/always-violet-1.jpg
423-always-clean--dry-thick-large-sanitary-30-pads,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/always-violet-2.jpg
421-lux-soap-soft-rose-170g,Lux Soap Soft Rose 170g,,Fakhr Al Shaeb,Grocery,"Bath & Wash Care,Personal Care",TRUE,3.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/lux-soap-pink-170g-1.jpg
421-lux-soap-soft-rose-170g,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/LUX-SOAP-PINK-INDIA-75G_grande.jpg
421-lux-soap-soft-rose-170g,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/lux-soap-pink-170g.jpg
426-pantene-shampo-2x180-ml,PANTENE SHAMPO 2X180 ML,,Fakhr Al Shaeb,Grocery,,TRUE,12.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/07/PANTENE-2X200-ML.jpg
424-closeup-toothpaste-menthol-fresh-120ml-x-4pcs--pack-of-4,"Closeup Toothpaste Menthol Fresh, 120ml X 4pcs —– (Pack of 4)",,Fakhr Al Shaeb,Grocery,"Dental,Personal Care",TRUE,19.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2021/03/closeup-menthol-120ml-4pcs.jpg
424-closeup-toothpaste-menthol-fresh-120ml-x-4pcs--pack-of-4,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2021/03/ca92d155-5441-441d-8deb-77b93a27e28f.jpg
425-closeup-ever-fresh-gel-toothpaste-red-hot-120ml-x-4pcs,Closeup Ever Fresh Gel Toothpaste Red Hot 120ml X 4pcs,,Fakhr Al Shaeb,Grocery,"Dental,Personal Care",TRUE,19.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2021/03/closeup-.jpg
