Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Variant Price,Cost per item,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Image Src
679-nadec-processed-cream-cheese-500gm-x-2-bottles,Nadec Processed Cream Cheese 500gm X 2 Bottles,SPECIAL PRICE FOR TWO BOTTLES,Fakhr Al Shaeb,Grocery,Eggs,TRUE,19.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/NADEC-CHEESE.jpg
680-lacnor-essentials-full-cream-milk-1l-x-12-pcs,Lacnor Essentials Full Cream Milk 1L X 12 Pcs,,Fakhr Al Shaeb,Grocery,Eggs,TRUE,42.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/06/LACNOR-FULL-CRM-1-LTR.jpg
680-lacnor-essentials-full-cream-milk-1l-x-12-pcs,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/06/LACNOR-FULL-CRM-1-LTR-1.jpg
681-almarai-cream-cheese-432g,Almarai Cream Cheese 432g,Brand : Almarai,Fakhr Al Shaeb,Grocery,"Cheese,Labneh",TRUE,19.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2021/01/ALMARAI-CREAM-CHEESE-432G.jpg
681-almarai-cream-cheese-432g,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2021/01/ALMARAI-CREAM-CHEESE-432G-2.jpg
682-nadec-triangle-cheese-5120-gm,Nadec triangle cheese 5×120 gm,,Fakhr Al Shaeb,Grocery,"Cheese,Labneh",TRUE,10.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/07/nadec-triangle.jpg
683-volvic-water-24-x-330-ml,Volvic Water 24 x 330 ml,,Fakhr Al Shaeb,Grocery,Water.,TRUE,82.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/01/Volvic-Water.png
685-perrier-water-330ml-x-24,Perrier Water 330ml x 24,,Fakhr Al Shaeb,Grocery,Water.,TRUE,80.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/01/Perrier-Water-Ctn.png
684-perrier-water-330-ml4,Perrier Water 330 ML*4,,Fakhr Al Shaeb,Grocery,Water.,TRUE,14.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/01/Perrier-Water-330-ml-x-4.png
688-luna-full-cream-milk-popular-170g-x-48pcs,Luna Full Cream Milk Popular 170g X 48pcs,Brand : Luna,Fakhr Al Shaeb,Grocery,Longlife Milk,TRUE,97.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/luna-milk.jpg
688-luna-full-cream-milk-popular-170g-x-48pcs,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/luna-milk-ctn.jpg
687-al-mudhish-long-life-12x1-ltr,AL MUDHISH LONG LIFE 12X1 LTR,,Fakhr Al Shaeb,Grocery,Longlife Milk,TRUE,41.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/12/al-mudhish-long-life.jpg
686-puck-cream-170g-x-48pcs,Puck Cream 170g X 48pcs,48 Tins Of Cartoon,Fakhr Al Shaeb,Grocery,Longlife Milk,TRUE,141.75,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/puck-cream-170g-3.jpg
686-puck-cream-170g-x-48pcs,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/puck-cream-170g-1.jpg
689-puck-cream-170g-x-6pcs,Puck Cream 170g X 6pcs,,Fakhr Al Shaeb,Grocery,Longlife Milk,TRUE,19.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/puck-cream-170g-otr-6-1.jpg
690-volvic-water-24-x-330-ml,Volvic Water 24 x 330 ml,,Fakhr Al Shaeb,Grocery,Water.,TRUE,82.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/01/Volvic-Water.png
693-luna-full-cream-milk-popular-170g-x-48pcs,Luna Full Cream Milk Popular 170g X 48pcs,Brand : Luna,Fakhr Al Shaeb,Grocery,Longlife Milk,TRUE,97.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/luna-milk.jpg
693-luna-full-cream-milk-popular-170g-x-48pcs,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/luna-milk-ctn.jpg
694-al-kbous-green-tea--100-tea-bags-,Al Kbous Green Tea ( 100 Tea Bags ),,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,12.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/08/AL-KBOUS-GREEN-TEA-100.jpg
694-al-kbous-green-tea--100-tea-bags-,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/08/AL-KBOUS-GREEN-TEA-100-2.jpg
692-brooke-bond-red-label-black-loose-tea-800g,Brooke Bond Red Label Black Loose Tea 800g,,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,36.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/brook-bonk-800g-3ctn.jpg
692-brooke-bond-red-label-black-loose-tea-800g,,,Fakhr Al Shaeb,Grocery,,TRUE,,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/brook-bonk-800g-2.jpg
695-nescafe-matinal-coffee-200g,Nescafe Matinal Coffee 200g,"Rich in coffee & same like red mug , Available in best price",Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,0.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/nescafe-matinal-1.jpg
696-amazon-tea-5kg,Amazon Tea 5kg,,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,61.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/amazon-tea-5kg.jpg
699-nescafe-gold-coffee-jar-200g,Nescafe Gold Coffee Jar 200g,,Fakhr Al Shaeb,Grocery,"Hot Beverages,Coffee,Tea",TRUE,28.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/nescafe-gold-coffe-200g-2.jpg
